candidate,target,mae,rmse,r2
last_year_mapping,Revenue,873584.048728233,1252092.0438265307,0.43581546786296166
last_year_mapping,COGS,704501.3366197335,1027676.8643836865,0.49795253160981323
day_of_year_profile,Revenue,1548495.0734087976,1916690.826187044,-0.3220649507325317
day_of_year_profile,COGS,1344099.7299344502,1660743.3962743324,-0.3111026365525369
calendar_profile,Revenue,1525807.9812684641,1938855.5670043537,-0.352818642263363
calendar_profile,COGS,1314145.2730484437,1669571.9887789958,-0.32507945931071713
recent_year_weighted,Revenue,547403.7487681378,733267.332984994,0.8065033998272562
recent_year_weighted,COGS,454126.34224527783,628651.1037456492,0.812132789406656
lgbm_calendar_only,Revenue,616496.2032318568,857130.2740025715,0.7356116388172159
lgbm_calendar_only,COGS,559648.8144275513,770510.1362027925,0.717779644258494
