fold,target,mae,rmse,r2
1,Revenue,1223663.3070000783,1555012.2420696567,0.6655960107099992
1,COGS,1088846.5241489166,1368310.5584794364,0.6246658714691862
2,Revenue,1575227.898312843,2028575.2127766612,0.5844800016825813
2,COGS,1407590.3075013086,1773549.2733971423,0.5550047924369879
3,Revenue,1152816.3394567133,1570503.069409604,0.6667426075588301
3,COGS,943460.9127465296,1275807.755482082,0.6751418407177306
4,Revenue,452153.17502276856,618802.2556186974,0.8380355979603951
4,COGS,427161.6488014809,629515.6912437396,0.787992423603089
5,Revenue,456416.34614384774,640422.816578968,0.8460319286952239
5,COGS,372373.4403415362,522516.2949871029,0.8607308529375417
mean,COGS,847886.5667079544,1113939.9147179006,0.700707156232907
mean,Revenue,972055.4131872501,1282663.1192907174,0.7201772293214059
